LapNumber,LapTime_LEC,Team_LEC,LapTime_seconds_LEC,LapTime_VER,Team_VER,LapTime_seconds_VER,LapTime_PER,Team_PER,LapTime_seconds_PER,Event,Session,Year,Reference_Driver
1.0,0 days 00:01:35.697000,Ferrari,95.697,0 days 00:01:34.338000,Red Bull Racing,94.338,0 days 00:01:38.282000,Red Bull Racing,98.282,Miami Grand Prix,Race,2024,LEC
2.0,0 days 00:01:33.317000,Ferrari,93.317,0 days 00:01:33.093000,Red Bull Racing,93.093,0 days 00:01:33.181000,Red Bull Racing,93.181,Miami Grand Prix,Race,2024,LEC
3.0,0 days 00:01:33.310000,Ferrari,93.31,0 days 00:01:33.137000,Red Bull Racing,93.137,0 days 00:01:33.521000,Red Bull Racing,93.521,Miami Grand Prix,Race,2024,LEC
4.0,0 days 00:01:33.774000,Ferrari,93.774,0 days 00:01:33.504000,Red Bull Racing,93.504,0 days 00:01:33.425000,Red Bull Racing,93.425,Miami Grand Prix,Race,2024,LEC
5.0,0 days 00:01:33.809000,Ferrari,93.809,0 days 00:01:32.834000,Red Bull Racing,92.834,0 days 00:01:33.318000,Red Bull Racing,93.318,Miami Grand Prix,Race,2024,LEC
6.0,0 days 00:01:32.940000,Ferrari,92.94,0 days 00:01:32.939000,Red Bull Racing,92.939,0 days 00:01:33.198000,Red Bull Racing,93.198,Miami Grand Prix,Race,2024,LEC
7.0,0 days 00:01:33.278000,Ferrari,93.278,0 days 00:01:32.895000,Red Bull Racing,92.895,0 days 00:01:33.175000,Red Bull Racing,93.175,Miami Grand Prix,Race,2024,LEC
8.0,0 days 00:01:33.113000,Ferrari,93.113,0 days 00:01:32.838000,Red Bull Racing,92.838,0 days 00:01:33.147000,Red Bull Racing,93.147,Miami Grand Prix,Race,2024,LEC
9.0,0 days 00:01:33.152000,Ferrari,93.152,0 days 00:01:33.289000,Red Bull Racing,93.289,0 days 00:01:33.490000,Red Bull Racing,93.49,Miami Grand Prix,Race,2024,LEC
10.0,0 days 00:01:33.478000,Ferrari,93.478,0 days 00:01:33.267000,Red Bull Racing,93.267,0 days 00:01:33.579000,Red Bull Racing,93.579,Miami Grand Prix,Race,2024,LEC
11.0,0 days 00:01:33.171000,Ferrari,93.171,0 days 00:01:33.501000,Red Bull Racing,93.501,0 days 00:01:33.532000,Red Bull Racing,93.532,Miami Grand Prix,Race,2024,LEC
12.0,0 days 00:01:33.123000,Ferrari,93.123,0 days 00:01:33.097000,Red Bull Racing,93.097,0 days 00:01:33.755000,Red Bull Racing,93.755,Miami Grand Prix,Race,2024,LEC
13.0,0 days 00:01:33.327000,Ferrari,93.327,0 days 00:01:33.129000,Red Bull Racing,93.129,0 days 00:01:33.971000,Red Bull Racing,93.971,Miami Grand Prix,Race,2024,LEC
14.0,0 days 00:01:32.965000,Ferrari,92.965,0 days 00:01:32.918000,Red Bull Racing,92.918,0 days 00:01:33.832000,Red Bull Racing,93.832,Miami Grand Prix,Race,2024,LEC
15.0,0 days 00:01:32.689000,Ferrari,92.689,0 days 00:01:32.807000,Red Bull Racing,92.807,0 days 00:01:33.337000,Red Bull Racing,93.337,Miami Grand Prix,Race,2024,LEC
16.0,0 days 00:01:33.026000,Ferrari,93.026,0 days 00:01:32.749000,Red Bull Racing,92.749,0 days 00:01:33.174000,Red Bull Racing,93.174,Miami Grand Prix,Race,2024,LEC
17.0,0 days 00:01:33.068000,Ferrari,93.068,0 days 00:01:32.920000,Red Bull Racing,92.92,0 days 00:01:38.985000,Red Bull Racing,98.985,Miami Grand Prix,Race,2024,LEC
18.0,0 days 00:01:32.829000,Ferrari,92.829,0 days 00:01:33.022000,Red Bull Racing,93.022,0 days 00:01:46.549000,Red Bull Racing,106.549,Miami Grand Prix,Race,2024,LEC
19.0,0 days 00:01:38.239000,Ferrari,98.239,0 days 00:01:32.668000,Red Bull Racing,92.668,0 days 00:01:33.159000,Red Bull Racing,93.159,Miami Grand Prix,Race,2024,LEC
20.0,0 days 00:01:46.412000,Ferrari,106.412,0 days 00:01:32.530000,Red Bull Racing,92.53,0 days 00:01:33.069000,Red Bull Racing,93.069,Miami Grand Prix,Race,2024,LEC
21.0,0 days 00:01:32.113000,Ferrari,92.113,0 days 00:01:32.926000,Red Bull Racing,92.926,0 days 00:01:32.753000,Red Bull Racing,92.753,Miami Grand Prix,Race,2024,LEC
22.0,0 days 00:01:32.641000,Ferrari,92.641,0 days 00:01:32.906000,Red Bull Racing,92.906,0 days 00:01:32.852000,Red Bull Racing,92.852,Miami Grand Prix,Race,2024,LEC
23.0,0 days 00:01:47.724000,Ferrari,107.724,0 days 00:01:51.938000,Red Bull Racing,111.938,0 days 00:01:47.989000,Red Bull Racing,107.989,Miami Grand Prix,Race,2024,LEC
24.0,0 days 00:01:32.395000,Ferrari,92.395,0 days 00:01:47.087000,Red Bull Racing,107.087,0 days 00:01:32.386000,Red Bull Racing,92.386,Miami Grand Prix,Race,2024,LEC
25.0,0 days 00:01:32.279000,Ferrari,92.279,0 days 00:01:32.298000,Red Bull Racing,92.298,0 days 00:01:32.763000,Red Bull Racing,92.763,Miami Grand Prix,Race,2024,LEC
26.0,0 days 00:01:32.392000,Ferrari,92.392,0 days 00:01:32.410000,Red Bull Racing,92.41,0 days 00:01:32.512000,Red Bull Racing,92.512,Miami Grand Prix,Race,2024,LEC
27.0,0 days 00:01:32.057000,Ferrari,92.057,0 days 00:01:32.515000,Red Bull Racing,92.515,0 days 00:01:32.161000,Red Bull Racing,92.161,Miami Grand Prix,Race,2024,LEC
28.0,0 days 00:01:38.903000,Ferrari,98.903,0 days 00:01:39.376000,Red Bull Racing,99.376,0 days 00:01:47.036000,Red Bull Racing,107.036,Miami Grand Prix,Race,2024,LEC
29.0,0 days 00:02:25.594000,Ferrari,145.594,0 days 00:02:26.519000,Red Bull Racing,146.519,0 days 00:02:18.070000,Red Bull Racing,138.07,Miami Grand Prix,Race,2024,LEC
30.0,0 days 00:02:05.271000,Ferrari,125.271,0 days 00:02:04.420000,Red Bull Racing,124.42,0 days 00:02:00.593000,Red Bull Racing,120.593,Miami Grand Prix,Race,2024,LEC
31.0,0 days 00:01:42.140000,Ferrari,102.14,0 days 00:01:41.077000,Red Bull Racing,101.077,0 days 00:01:42.695000,Red Bull Racing,102.695,Miami Grand Prix,Race,2024,LEC
32.0,,Ferrari,,,Red Bull Racing,,0 days 00:02:27.689000,Red Bull Racing,147.689,Miami Grand Prix,Race,2024,LEC
33.0,0 days 00:01:32.787000,Ferrari,92.787,0 days 00:01:32.227000,Red Bull Racing,92.227,0 days 00:01:33.589000,Red Bull Racing,93.589,Miami Grand Prix,Race,2024,LEC
34.0,0 days 00:01:31.499000,Ferrari,91.499,0 days 00:01:31.611000,Red Bull Racing,91.611,0 days 00:01:32.188000,Red Bull Racing,92.188,Miami Grand Prix,Race,2024,LEC
35.0,0 days 00:01:31.449000,Ferrari,91.449,0 days 00:01:31.409000,Red Bull Racing,91.409,0 days 00:01:31.589000,Red Bull Racing,91.589,Miami Grand Prix,Race,2024,LEC
36.0,0 days 00:01:31.864000,Ferrari,91.864,0 days 00:01:31.456000,Red Bull Racing,91.456,0 days 00:01:32.184000,Red Bull Racing,92.184,Miami Grand Prix,Race,2024,LEC
37.0,0 days 00:01:31.841000,Ferrari,91.841,0 days 00:01:31.377000,Red Bull Racing,91.377,0 days 00:01:32.553000,Red Bull Racing,92.553,Miami Grand Prix,Race,2024,LEC
38.0,0 days 00:01:31.753000,Ferrari,91.753,0 days 00:01:31.526000,Red Bull Racing,91.526,0 days 00:01:31.664000,Red Bull Racing,91.664,Miami Grand Prix,Race,2024,LEC
39.0,0 days 00:01:31.561000,Ferrari,91.561,0 days 00:01:31.336000,Red Bull Racing,91.336,0 days 00:01:32.195000,Red Bull Racing,92.195,Miami Grand Prix,Race,2024,LEC
40.0,0 days 00:01:31.652000,Ferrari,91.652,0 days 00:01:31.487000,Red Bull Racing,91.487,0 days 00:01:32.645000,Red Bull Racing,92.645,Miami Grand Prix,Race,2024,LEC
41.0,0 days 00:01:31.346000,Ferrari,91.346,0 days 00:01:31.375000,Red Bull Racing,91.375,0 days 00:01:32.137000,Red Bull Racing,92.137,Miami Grand Prix,Race,2024,LEC
42.0,0 days 00:01:31.500000,Ferrari,91.5,0 days 00:01:31.455000,Red Bull Racing,91.455,0 days 00:01:31.513000,Red Bull Racing,91.513,Miami Grand Prix,Race,2024,LEC
43.0,0 days 00:01:31.632000,Ferrari,91.632,0 days 00:01:31.435000,Red Bull Racing,91.435,0 days 00:01:31.405000,Red Bull Racing,91.405,Miami Grand Prix,Race,2024,LEC
44.0,0 days 00:01:31.554000,Ferrari,91.554,0 days 00:01:31.452000,Red Bull Racing,91.452,0 days 00:01:31.509000,Red Bull Racing,91.509,Miami Grand Prix,Race,2024,LEC
45.0,0 days 00:01:31.378000,Ferrari,91.378,0 days 00:01:31.537000,Red Bull Racing,91.537,0 days 00:01:31.532000,Red Bull Racing,91.532,Miami Grand Prix,Race,2024,LEC
46.0,0 days 00:01:31.537000,Ferrari,91.537,0 days 00:01:31.788000,Red Bull Racing,91.788,0 days 00:01:31.681000,Red Bull Racing,91.681,Miami Grand Prix,Race,2024,LEC
47.0,0 days 00:01:31.627000,Ferrari,91.627,0 days 00:01:31.513000,Red Bull Racing,91.513,0 days 00:01:31.369000,Red Bull Racing,91.369,Miami Grand Prix,Race,2024,LEC
48.0,0 days 00:01:31.227000,Ferrari,91.227,0 days 00:01:31.261000,Red Bull Racing,91.261,0 days 00:01:31.549000,Red Bull Racing,91.549,Miami Grand Prix,Race,2024,LEC
49.0,0 days 00:01:31.318000,Ferrari,91.318,0 days 00:01:31.597000,Red Bull Racing,91.597,0 days 00:01:31.396000,Red Bull Racing,91.396,Miami Grand Prix,Race,2024,LEC
50.0,0 days 00:01:31.936000,Ferrari,91.936,0 days 00:01:31.338000,Red Bull Racing,91.338,0 days 00:01:31.735000,Red Bull Racing,91.735,Miami Grand Prix,Race,2024,LEC
51.0,0 days 00:01:31.223000,Ferrari,91.223,0 days 00:01:31.284000,Red Bull Racing,91.284,0 days 00:01:31.519000,Red Bull Racing,91.519,Miami Grand Prix,Race,2024,LEC
52.0,0 days 00:01:31.779000,Ferrari,91.779,0 days 00:01:31.428000,Red Bull Racing,91.428,0 days 00:01:31.530000,Red Bull Racing,91.53,Miami Grand Prix,Race,2024,LEC
53.0,0 days 00:01:31.455000,Ferrari,91.455,0 days 00:01:31.473000,Red Bull Racing,91.473,0 days 00:01:31.316000,Red Bull Racing,91.316,Miami Grand Prix,Race,2024,LEC
54.0,0 days 00:01:31.592000,Ferrari,91.592,0 days 00:01:31.546000,Red Bull Racing,91.546,0 days 00:01:31.178000,Red Bull Racing,91.178,Miami Grand Prix,Race,2024,LEC
55.0,0 days 00:01:31.281000,Ferrari,91.281,0 days 00:01:31.408000,Red Bull Racing,91.408,0 days 00:01:30.855000,Red Bull Racing,90.855,Miami Grand Prix,Race,2024,LEC
56.0,0 days 00:01:31.084000,Ferrari,91.084,0 days 00:01:31.490000,Red Bull Racing,91.49,0 days 00:01:31.294000,Red Bull Racing,91.294,Miami Grand Prix,Race,2024,LEC
57.0,0 days 00:01:31.629000,Ferrari,91.629,0 days 00:01:31.699000,Red Bull Racing,91.699,0 days 00:01:31.223000,Red Bull Racing,91.223,Miami Grand Prix,Race,2024,LEC
