Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:36:25.133000,VER,1,0 days 00:41:18.944000,1.0,1.0,,0 days 00:56:53.182000,,0 days 00:00:50.381000,,,0 days 00:56:25.744000,,162.0,68.0,,274.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:55:05.680000,2024-05-26 13:03:11.069,1254,10.0,False,,False,False
0 days 01:39:02.400000,VER,1,,2.0,2.0,0 days 01:36:25.661000,,0 days 00:00:24.134000,0 days 00:00:38.218000,0 days 00:01:35.091000,0 days 01:36:49.243000,0 days 01:37:27.294000,0 days 01:39:02.632000,189.0,185.0,78.0,255.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:35:54.733000,2024-05-26 13:44:00.122,14,6.0,False,,False,False
0 days 01:40:28.144000,VER,1,0 days 00:01:25.744000,3.0,2.0,,,0 days 00:00:24.715000,0 days 00:00:38.860000,0 days 00:00:22.169000,0 days 01:39:27.092000,0 days 01:40:05.952000,0 days 01:40:28.121000,169.0,179.0,256.0,266.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:39:02.400000,2024-05-26 13:47:07.789,1,6.0,False,,False,True
0 days 01:41:51.419000,VER,1,0 days 00:01:23.275000,4.0,2.0,,,0 days 00:00:21.947000,0 days 00:00:38.888000,0 days 00:00:22.440000,0 days 01:40:50.068000,0 days 01:41:28.956000,0 days 01:41:51.396000,166.0,173.0,256.0,262.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:40:28.144000,2024-05-26 13:48:33.533,1,6.0,False,,False,True
0 days 01:43:14.819000,VER,1,0 days 00:01:23.400000,5.0,2.0,,,0 days 00:00:22.318000,0 days 00:00:38.953000,0 days 00:00:22.129000,0 days 01:42:13.714000,0 days 01:42:52.667000,0 days 01:43:14.796000,160.0,172.0,256.0,259.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:41:51.419000,2024-05-26 13:49:56.808,1,6.0,False,,False,True
0 days 01:44:38.606000,VER,1,0 days 00:01:23.787000,6.0,2.0,,,0 days 00:00:21.761000,0 days 00:00:39.710000,0 days 00:00:22.316000,0 days 01:43:36.557000,0 days 01:44:16.267000,0 days 01:44:38.583000,166.0,172.0,254.0,258.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:43:14.819000,2024-05-26 13:51:20.208,1,6.0,False,,False,True
0 days 01:45:59.889000,VER,1,0 days 00:01:21.283000,7.0,2.0,,,0 days 00:00:21.383000,0 days 00:00:38.200000,0 days 00:00:21.700000,0 days 01:44:59.966000,0 days 01:45:38.166000,0 days 01:45:59.866000,168.0,172.0,256.0,263.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:44:38.606000,2024-05-26 13:52:43.995,1,6.0,False,,False,True
0 days 01:47:21.546000,VER,1,0 days 00:01:21.657000,8.0,2.0,,,0 days 00:00:21.194000,0 days 00:00:38.504000,0 days 00:00:21.959000,0 days 01:46:21.060000,0 days 01:46:59.564000,0 days 01:47:21.523000,169.0,176.0,254.0,262.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:45:59.889000,2024-05-26 13:54:05.278,1,6.0,False,,False,True
0 days 01:48:43.286000,VER,1,0 days 00:01:21.740000,9.0,2.0,,,0 days 00:00:21.492000,0 days 00:00:38.489000,0 days 00:00:21.759000,0 days 01:47:43.015000,0 days 01:48:21.504000,0 days 01:48:43.263000,173.0,177.0,254.0,263.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:47:21.546000,2024-05-26 13:55:26.935,1,6.0,False,,False,True
0 days 01:50:04.530000,VER,1,0 days 00:01:21.244000,10.0,2.0,,,0 days 00:00:21.172000,0 days 00:00:38.177000,0 days 00:00:21.895000,0 days 01:49:04.435000,0 days 01:49:42.612000,0 days 01:50:04.507000,168.0,179.0,255.0,263.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:48:43.286000,2024-05-26 13:56:48.675,1,6.0,False,,False,True
0 days 01:51:26.022000,VER,1,0 days 00:01:21.492000,11.0,2.0,,,0 days 00:00:21.223000,0 days 00:00:38.280000,0 days 00:00:21.989000,0 days 01:50:25.730000,0 days 01:51:04.010000,0 days 01:51:25.999000,175.0,174.0,254.0,259.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:50:04.530000,2024-05-26 13:58:09.919,1,6.0,False,,False,True
0 days 01:52:46.681000,VER,1,0 days 00:01:20.659000,12.0,2.0,,,0 days 00:00:21.270000,0 days 00:00:37.879000,0 days 00:00:21.510000,0 days 01:51:47.269000,0 days 01:52:25.148000,0 days 01:52:46.658000,,181.0,254.0,263.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 01:51:26.022000,2024-05-26 13:59:31.411,1,6.0,False,,False,True
0 days 01:54:06.585000,VER,1,0 days 00:01:19.904000,13.0,2.0,,,0 days 00:00:20.858000,0 days 00:00:37.533000,0 days 00:00:21.513000,0 days 01:53:07.516000,0 days 01:53:45.049000,0 days 01:54:06.562000,176.0,175.0,256.0,261.0,True,MEDIUM,12.0,True,Red Bull Racing,0 days 01:52:46.681000,2024-05-26 14:00:52.070,1,6.0,False,,False,True
0 days 01:55:26.308000,VER,1,0 days 00:01:19.723000,14.0,2.0,,,0 days 00:00:20.849000,0 days 00:00:37.408000,0 days 00:00:21.466000,0 days 01:54:27.411000,0 days 01:55:04.819000,0 days 01:55:26.285000,175.0,181.0,255.0,264.0,True,MEDIUM,13.0,True,Red Bull Racing,0 days 01:54:06.585000,2024-05-26 14:02:11.974,1,6.0,False,,False,True
0 days 01:56:46.678000,VER,1,0 days 00:01:20.370000,15.0,2.0,,,0 days 00:00:20.949000,0 days 00:00:37.792000,0 days 00:00:21.629000,0 days 01:55:47.234000,0 days 01:56:25.026000,0 days 01:56:46.655000,172.0,182.0,255.0,263.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:55:26.308000,2024-05-26 14:03:31.697,1,6.0,False,,False,True
0 days 01:58:06.965000,VER,1,0 days 00:01:20.287000,16.0,2.0,,,0 days 00:00:21.059000,0 days 00:00:37.755000,0 days 00:00:21.473000,0 days 01:57:07.714000,0 days 01:57:45.469000,0 days 01:58:06.942000,166.0,180.0,256.0,260.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:56:46.678000,2024-05-26 14:04:52.067,1,6.0,False,,False,True
0 days 01:59:26.863000,VER,1,0 days 00:01:19.898000,17.0,2.0,,,0 days 00:00:20.952000,0 days 00:00:37.610000,0 days 00:00:21.336000,0 days 01:58:27.894000,0 days 01:59:05.504000,0 days 01:59:26.840000,172.0,182.0,255.0,261.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:58:06.965000,2024-05-26 14:06:12.354,1,6.0,False,,False,True
0 days 02:00:46.443000,VER,1,0 days 00:01:19.580000,18.0,2.0,,,0 days 00:00:21.012000,0 days 00:00:37.408000,0 days 00:00:21.160000,0 days 01:59:47.852000,0 days 02:00:25.260000,0 days 02:00:46.420000,179.0,185.0,256.0,265.0,True,MEDIUM,17.0,True,Red Bull Racing,0 days 01:59:26.863000,2024-05-26 14:07:32.252,1,6.0,False,,False,True
0 days 02:02:06.614000,VER,1,0 days 00:01:20.171000,19.0,2.0,,,0 days 00:00:21.034000,0 days 00:00:37.869000,0 days 00:00:21.268000,0 days 02:01:07.454000,0 days 02:01:45.323000,0 days 02:02:06.591000,172.0,184.0,256.0,264.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 02:00:46.443000,2024-05-26 14:08:51.832,1,6.0,False,,False,True
0 days 02:03:26.500000,VER,1,0 days 00:01:19.886000,20.0,2.0,,,0 days 00:00:20.908000,0 days 00:00:37.402000,0 days 00:00:21.576000,0 days 02:02:27.499000,0 days 02:03:04.901000,0 days 02:03:26.477000,169.0,181.0,256.0,265.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 02:02:06.614000,2024-05-26 14:10:12.003,1,6.0,False,,False,True
0 days 02:04:46.755000,VER,1,0 days 00:01:20.255000,21.0,2.0,,,0 days 00:00:21.039000,0 days 00:00:37.731000,0 days 00:00:21.485000,0 days 02:03:47.516000,0 days 02:04:25.247000,0 days 02:04:46.732000,172.0,180.0,256.0,263.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 02:03:26.500000,2024-05-26 14:11:31.889,1,6.0,False,,False,True
0 days 02:06:06.568000,VER,1,0 days 00:01:19.813000,22.0,2.0,,,0 days 00:00:21.017000,0 days 00:00:37.631000,0 days 00:00:21.165000,0 days 02:05:07.749000,0 days 02:05:45.380000,0 days 02:06:06.545000,170.0,185.0,256.0,264.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 02:04:46.755000,2024-05-26 14:12:52.144,1,6.0,False,,False,True
0 days 02:07:25.547000,VER,1,0 days 00:01:18.979000,23.0,2.0,,,0 days 00:00:20.825000,0 days 00:00:36.884000,0 days 00:00:21.270000,0 days 02:06:27.370000,0 days 02:07:04.254000,0 days 02:07:25.524000,186.0,184.0,256.0,264.0,True,MEDIUM,22.0,True,Red Bull Racing,0 days 02:06:06.568000,2024-05-26 14:14:11.957,1,6.0,False,,False,True
0 days 02:08:44.911000,VER,1,0 days 00:01:19.364000,24.0,2.0,,,0 days 00:00:20.830000,0 days 00:00:37.287000,0 days 00:00:21.247000,0 days 02:07:46.354000,0 days 02:08:23.641000,0 days 02:08:44.888000,182.0,185.0,257.0,263.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 02:07:25.547000,2024-05-26 14:15:30.936,1,6.0,False,,False,True
0 days 02:10:04.291000,VER,1,0 days 00:01:19.380000,25.0,2.0,,,0 days 00:00:20.827000,0 days 00:00:37.328000,0 days 00:00:21.225000,0 days 02:09:05.715000,0 days 02:09:43.043000,0 days 02:10:04.268000,177.0,184.0,255.0,263.0,False,MEDIUM,24.0,True,Red Bull Racing,0 days 02:08:44.911000,2024-05-26 14:16:50.300,1,6.0,False,,False,True
0 days 02:11:23.109000,VER,1,0 days 00:01:18.818000,26.0,2.0,,,0 days 00:00:20.646000,0 days 00:00:37.241000,0 days 00:00:20.931000,0 days 02:10:24.914000,0 days 02:11:02.155000,0 days 02:11:23.086000,179.0,189.0,256.0,263.0,True,MEDIUM,25.0,True,Red Bull Racing,0 days 02:10:04.291000,2024-05-26 14:18:09.680,1,6.0,False,,False,True
0 days 02:12:41.906000,VER,1,0 days 00:01:18.797000,27.0,2.0,,,0 days 00:00:20.592000,0 days 00:00:37.213000,0 days 00:00:20.992000,0 days 02:11:43.678000,0 days 02:12:20.891000,0 days 02:12:41.883000,184.0,186.0,256.0,263.0,True,MEDIUM,26.0,True,Red Bull Racing,0 days 02:11:23.109000,2024-05-26 14:19:28.498,1,6.0,False,,False,True
0 days 02:14:00.588000,VER,1,0 days 00:01:18.682000,28.0,2.0,,,0 days 00:00:21,0 days 00:00:36.851000,0 days 00:00:20.831000,0 days 02:13:02.883000,0 days 02:13:39.734000,0 days 02:14:00.565000,194.0,188.0,257.0,263.0,True,MEDIUM,27.0,True,Red Bull Racing,0 days 02:12:41.906000,2024-05-26 14:20:47.295,1,6.0,False,,False,True
0 days 02:15:19.383000,VER,1,0 days 00:01:18.795000,29.0,2.0,,,0 days 00:00:20.960000,0 days 00:00:36.819000,0 days 00:00:21.016000,0 days 02:14:21.525000,0 days 02:14:58.344000,0 days 02:15:19.360000,189.0,188.0,256.0,263.0,False,MEDIUM,28.0,True,Red Bull Racing,0 days 02:14:00.588000,2024-05-26 14:22:05.977,1,6.0,False,,False,True
0 days 02:16:37.957000,VER,1,0 days 00:01:18.574000,30.0,2.0,,,0 days 00:00:20.983000,0 days 00:00:36.660000,0 days 00:00:20.931000,0 days 02:15:40.343000,0 days 02:16:17.003000,0 days 02:16:37.934000,182.0,189.0,255.0,264.0,True,MEDIUM,29.0,True,Red Bull Racing,0 days 02:15:19.383000,2024-05-26 14:23:24.772,1,6.0,False,,False,True
0 days 02:17:56.521000,VER,1,0 days 00:01:18.564000,31.0,2.0,,,0 days 00:00:20.941000,0 days 00:00:36.674000,0 days 00:00:20.949000,0 days 02:16:58.875000,0 days 02:17:35.549000,0 days 02:17:56.498000,194.0,189.0,257.0,264.0,True,MEDIUM,30.0,True,Red Bull Racing,0 days 02:16:37.957000,2024-05-26 14:24:43.346,1,6.0,False,,False,True
0 days 02:19:15.504000,VER,1,0 days 00:01:18.983000,32.0,2.0,,,0 days 00:00:21.108000,0 days 00:00:36.848000,0 days 00:00:21.027000,0 days 02:18:17.606000,0 days 02:18:54.454000,0 days 02:19:15.481000,184.0,187.0,258.0,265.0,False,MEDIUM,31.0,True,Red Bull Racing,0 days 02:17:56.521000,2024-05-26 14:26:01.910,1,6.0,False,,False,True
0 days 02:20:34.509000,VER,1,0 days 00:01:19.005000,33.0,2.0,,,0 days 00:00:21.185000,0 days 00:00:36.810000,0 days 00:00:21.010000,0 days 02:19:36.666000,0 days 02:20:13.476000,0 days 02:20:34.486000,176.0,188.0,256.0,264.0,False,MEDIUM,32.0,True,Red Bull Racing,0 days 02:19:15.504000,2024-05-26 14:27:20.893,1,6.0,False,,False,True
0 days 02:21:54.103000,VER,1,0 days 00:01:19.594000,34.0,2.0,,,0 days 00:00:21.220000,0 days 00:00:37.043000,0 days 00:00:21.331000,0 days 02:20:55.706000,0 days 02:21:32.749000,0 days 02:21:54.080000,184.0,185.0,256.0,264.0,False,MEDIUM,33.0,True,Red Bull Racing,0 days 02:20:34.509000,2024-05-26 14:28:39.898,1,6.0,False,,False,True
0 days 02:23:14.310000,VER,1,0 days 00:01:20.207000,35.0,2.0,,,0 days 00:00:21.369000,0 days 00:00:37.357000,0 days 00:00:21.481000,0 days 02:22:15.449000,0 days 02:22:52.806000,0 days 02:23:14.287000,173.0,184.0,257.0,266.0,False,MEDIUM,34.0,True,Red Bull Racing,0 days 02:21:54.103000,2024-05-26 14:29:59.492,1,6.0,False,,False,True
0 days 02:24:33.944000,VER,1,0 days 00:01:19.634000,36.0,2.0,,,0 days 00:00:21.105000,0 days 00:00:37.154000,0 days 00:00:21.375000,0 days 02:23:35.392000,0 days 02:24:12.546000,0 days 02:24:33.921000,176.0,186.0,257.0,264.0,False,MEDIUM,35.0,True,Red Bull Racing,0 days 02:23:14.310000,2024-05-26 14:31:19.699,1,6.0,False,,False,True
0 days 02:25:53.373000,VER,1,0 days 00:01:19.429000,37.0,2.0,,,0 days 00:00:21.231000,0 days 00:00:36.992000,0 days 00:00:21.206000,0 days 02:24:55.152000,0 days 02:25:32.144000,0 days 02:25:53.350000,187.0,189.0,257.0,263.0,False,MEDIUM,36.0,True,Red Bull Racing,0 days 02:24:33.944000,2024-05-26 14:32:39.333,1,6.0,False,,False,True
0 days 02:27:12.217000,VER,1,0 days 00:01:18.844000,38.0,2.0,,,0 days 00:00:20.966000,0 days 00:00:36.930000,0 days 00:00:20.948000,0 days 02:26:14.316000,0 days 02:26:51.246000,0 days 02:27:12.194000,191.0,187.0,257.0,264.0,False,MEDIUM,37.0,True,Red Bull Racing,0 days 02:25:53.373000,2024-05-26 14:33:58.762,1,6.0,False,,False,True
